Gene	A19_uninfected	A20_uninfected	A21_uninfected	A22_uninfected	A23_uninfected	A19_influenza	A20_influenza	A21_influenza	A22_influenza	A23_influenza
FBXL16	0	0	0	0	0	0	0	0	0	0
CHTF18	275	497	201	170	602	237	404	291	263	296
GNG13	0	0	0	0	0	0	0	0	0	0
TUBBP1	2025	1796	1515	1827	1823	1717	1559	1953	2139	1120
MACF1,MACF1	25101	25612	14077	27318	23764	28270	28824	22620	28339	23763
SMARCA4	2947	4431	2849	4920	4857	3484	3722	4690	5128	3943
KDM4B	1678	2007	1271	2286	2347	2199	2548	1826	2468	2321
TICAM1	1390	1253	919	3351	1803	1960	1297	1472	3993	2320
METTL25	725	943	651	403	911	816	731	858	481	527
IL17B	21	15	7	17	31	21	22	13	22	17
EMC6	0	0	0	0	0	0	0	0	0	0
OR1E2	0	0	0	1	0	12	0	0	1	0
METTL16	1595	1622	1219	1487	1967	1812	1918	1657	1736	1332
TUBA4A	2388	2855	2899	2021	2388	3034	2648	4348	3381	2306
VIL1	29	26	20	42	29	35	38	53	57	39
AAMP	4387	4754	4397	5789	6068	5966	3998	5683	6603	5572
PNKD	1156	1382	1189	625	1438	1556	1236	1403	703	830
TNFRSF19	1954	1806	1273	600	1728	1840	1480	1265	548	838
RNF6	2567	2463	1592	2148	2404	2426	2049	2168	2678	2062
ECHS1	4275	5737	4634	2433	5425	4622	4050	5573	3347	4193
ZNF835	162	104	100	11	167	124	70	92	48	38
AKAP9	11407	14346	12496	9562	11518	16690	16866	13534	9713	7955
GNG11	3177	6080	2523	2799	5806	3468	3848	3334	3548	2864
SEM1	4757	7682	5187	5531	5768	7102	7596	6967	6160	5002
GNGT1	285	330	293	1286	408	426	478	427	1039	555
HIP1	7368	5186	3769	11206	9051	6752	6491	5777	10994	8400
PTPN12	5658	6458	4764	11152	4872	8029	8274	7371	10983	5590
POR	5720	4780	4322	5193	7083	8206	5720	5268	5962	5582
FGL2	0	0	0	0	0	0	0	0	0	0
STYXL1	1095	1540	1384	738	1233	1220	1146	1579	1008	928
STEAP4	52	26	45	91	94	79	68	126	147	85
GNAI1	3564	2360	1631	3444	3828	3622	2271	2422	3469	1810
PMS2P3	811	711	688	916	1144	914	992	828	1144	881
PEX1	817	795	717	505	889	790	740	761	588	472
MTERF1	1996	2472	1567	1380	2502	1880	2302	2202	1594	1573
SGCE	3549	2974	2703	1844	3924	3967	2957	3115	2343	2060
RBM48	1167	1059	786	1033	1465	1183	1108	1130	1557	1032
CASD1	1034	1236	950	950	1215	1119	1218	974	1102	738
ZNF780B	612	1009	518	438	876	607	976	869	668	502
LRFN1	5	19	5	16	44	16	35	20	29	37
ZFP36	3937	2157	1374	16841	5619	4947	4714	2647	16245	12665
SRD5A3	616	532	820	744	776	694	391	1122	921	874
SPINK2	12	17	6	8	30	4	15	13	15	22
RASL11B	13	16	26	46	98	33	13	14	67	89
PAICS	3624	4064	2938	2704	3635	3459	3463	3756	2884	2484
KDR	1437	1679	765	1394	1643	1611	869	1246	1668	1358
PPAT	1089	1340	758	883	1103	999	1119	978	818	745
TUBGCP6	1351	894	748	1199	2027	1042	1211	1328	1424	1265
ADM2	113	136	93	105	84	108	39	125	120	85
DGCR6L	1872	2926	1636	584	2245	2207	1918	1919	811	1192
DGCR8	296	488	327	547	779	318	435	510	622	537
ASPHD2	72	70	71	52	69	145	139	144	94	145
VPREB3	13	70	2	17	58	3	8	18	16	28
SDF2L1	3725	4920	3369	4623	5071	4758	4364	4597	4352	4451
GAL3ST1	47	42	47	33	107	75	66	75	41	45
YWHAH	1619	3162	1833	1941	1837	2252	2794	2547	1851	1189
RFPL1	0	0	0	0	0	0	0	0	0	0
RFPL2	1	7	9	2	9	7	3	4	6	3
C22orf24	9	6	2	6	6	3	1	3	3	6
POM121L9P	129	173	99	130	172	144	128	142	175	90
GNAZ	0	0	0	0	0	0	0	0	0	0
MGAT3	234	132	162	451	374	275	233	298	473	366
ADORA2A	0	0	0	0	0	0	0	0	0	0
ATF4	2924	5417	3440	6083	4205	5669	5878	4597	4959	3632
A4GALT	944	1097	756	2335	1769	1141	1506	1092	2293	2575
RFPL3	2	1	1	6	5	2	7	2	5	8
CDC42EP1	3500	3672	3777	5922	4390	3655	2727	6349	6565	5721
APOL3	2096	2678	1325	2745	2764	3259	5125	3735	5284	10644
MCHR1	343	255	168	495	680	232	200	303	560	224
TPST2	3094	3630	2163	2723	3599	3626	2852	3261	3097	2290
BAIAP2L2	90	75	30	54	109	75	120	48	41	44
MPST	1415	2086	1754	1043	1306	1875	1488	2067	1118	865
GALR3	10	1	0	6	1	2	0	0	0	0
TST	185	280	221	82	231	198	187	349	115	133
APOL5	8	9	2	14	11	18	20	26	8	31
IGLL1	4	4	17	1	4	8	4	9	3	6
APOL2	3720	4266	2953	5223	4591	5677	9754	7422	11623	26226
RAC2	798	1061	626	984	1159	869	924	1055	1175	955
LIF	2654	2086	1881	46034	3691	2867	2598	4834	49756	12766
C22orf23	176	235	111	408	256	200	190	190	519	248
APOBEC3A,APOBEC3A	100	64	61	52	179	166	209	134	65	1059
APOBEC3F	26	38	20	15	26	22	19	20	32	43
RIBC2	103	150	95	2	88	149	80	74	2	59
KRT17	10920	6488	14643	4733	8150	55074	15045	9374	7153	17865
TBC1D27P	2	28	7	24	68	7	8	4	25	21
EMC4	3977	4929	3692	3007	4549	4661	3882	4591	3711	3366
RNF112	23	40	4	12	28	18	32	24	10	4
SPECC1	330	353	225	592	567	438	386	406	606	353
CPA4	38	30	43	4	355	42	27	53	18	5
DOCK4	22319	21079	14177	39525	19963	22534	20178	25584	38986	22086
POT1	1451	1162	1011	1008	1119	1401	1378	1329	1137	737
TAS2R16	0	0	0	0	0	2	0	0	0	0
ATP6V1F	0	0	0	0	0	0	0	0	0	0
LSM8	798	877	727	820	990	866	1037	983	1070	947
CDHR3	1354	1517	1065	278	1462	2378	1872	646	261	712
PRKRIP1	1932	1892	1196	2086	2346	2480	2755	1793	2202	2046
VGF	2	2	0	0	2	0	0	0	0	0
PODXL	13611	12454	5352	19452	14691	20379	17264	13584	20739	12954
FOXP2	3323	3805	3863	1050	1620	3593	3187	2978	1209	1069
STRIP2	254	183	108	203	183	161	127	209	190	103
IFT22	697	879	592	362	836	788	777	583	373	491
MKLN1	10109	9980	7455	15303	9767	12869	13131	10349	14797	8729
DNAJB9	16369	9025	11994	17913	15835	19002	14753	15209	20944	15344
FLNC	124	54	24	70	294	96	107	22	78	63
LRRC4	0	0	0	0	0	0	0	0	0	0
CALU	29632	23929	16657	29871	27891	31198	25960	22258	33320	22436
CCDC136	72	116	44	16	98	59	106	55	49	42
SMO	32	51	35	31	56	35	25	21	30	24
IRF5	433	437	302	452	657	576	470	426	490	757
LRRC17	0	0	0	0	0	0	0	0	0	0
KLHDC10	1745	2163	1626	1326	2078	2646	2557	2248	1665	1542
NDUFA5	4471	4192	3576	3168	4623	5438	5056	4596	4288	3030
FEZF1	0	3	2	0	5	3	7	2	3	0
OPN1SW	382	554	380	915	611	468	537	475	1011	450
MRPS12	0	0	0	0	0	0	0	0	0	0
MYO1B	7916	8505	5600	44997	9449	10664	9592	10645	43865	19350
HOXD1	47	59	139	132	83	85	61	191	114	80
HOXD3	14	28	12	5	22	25	44	13	5	19
MTX2	2243	2327	2238	1225	1917	2615	2149	2601	1476	1475
PDE11A	70	72	76	72	79	160	92	89	46	84
CHN1	1445	1563	879	2412	2191	1655	1905	1259	2052	1998
GAD1	35	60	19	148	63	50	149	123	147	93
EIF2S2P4	0	0	0	0	0	0	0	0	0	0
OSGEPL1	60	68	37	13	62	67	38	47	35	22
ORMDL1	3939	3501	3039	3136	5377	3530	3645	3939	3671	3352
HAT1	0	0	0	0	0	0	0	0	0	0
HOXD9	0	0	0	0	0	0	0	0	0	0
HOXD10	0	1	0	9	12	2	0	0	8	1
HOXD11	0	1	1	0	0	0	0	0	0	0
HOXD13	0	0	1	0	0	1	0	0	0	0
HERC2	3496	3954	2520	3059	3914	3471	3664	3210	3440	2699
SNRPN	62	63	47	42	46	89	80	63	51	37
PSMG2	1761	2096	1583	1503	2271	1914	1954	2101	2069	1875
TWSG1	3108	2463	2040	4544	4238	3303	2888	2738	5699	3424
ARHGAP22	1004	1348	815	1657	957	847	1316	1229	1848	670
WDFY4	243	323	201	320	516	330	197	297	360	350
EIF2AK4	1397	2287	1267	1301	2422	1405	1828	1667	1507	1467
MYO5C	2303	1778	2035	1217	1452	2644	1792	2408	1643	1231
CGNL1	5219	3387	4250	5243	4725	6373	5722	5289	5208	4328
TMOD2	491	560	304	240	386	337	427	414	276	338
TTBK2	1877	2029	1685	2465	2171	2596	3124	2150	2516	2188
ELL3	0	0	0	0	0	0	0	0	0	0
CCDC32	235	257	246	283	246	262	217	281	333	236
INO80	2076	2069	1474	2789	2091	2125	2073	2317	3058	2118
ICE2	2219	2184	1515	1166	2056	1910	2068	2060	1705	1381
DLL4	4694	4594	1177	8299	4461	4175	3476	3308	7173	3569
ALDH1A2	1088	1020	554	346	1485	912	754	600	718	574
MINDY2	3278	3463	2736	2576	4824	4727	4098	3237	2696	3165
IVD	1652	1655	1363	874	2394	1666	1223	1622	1136	1360
KNSTRN	462	538	464	187	379	380	363	541	261	340
DUT	2269	4114	2522	1759	3529	2778	2983	3313	2280	2179
CHAC1	407	359	329	602	337	336	253	508	336	497
CLN6	28	32	24	44	31	43	39	21	57	26
ARPP19	5835	4601	4244	6242	5351	7455	5561	5845	6909	4751
VPS13C	7611	7936	6164	11033	5491	10238	10142	8706	12434	8686
CALML4	0	0	0	0	0	0	0	0	0	0
ISLR	0	0	0	0	0	0	0	0	0	0
THAP10	0	0	0	0	0	0	0	0	0	0
LOXL1	208	269	120	84	299	181	259	140	151	101
ACKR4	0	0	0	0	0	0	0	0	0	0
ANAPC13	2577	2645	2576	1706	3372	3209	2572	2872	2462	2265
MBD4	1972	2349	1711	1651	2506	2421	2181	2243	1705	1656
COPB1	8096	6335	5755	7232	7636	9137	7320	7518	8223	6560
PSMA1	1198	1412	746	2056	1730	1314	1630	1241	2081	1198
SUMF2	2751	2473	2287	1355	3440	3203	2519	2700	1582	2054
PALLD	1167	1072	894	2520	1822	1491	1362	1192	2706	1633
SPCS3	5286	5874	4761	6228	4551	4802	4427	6431	6926	5208
BBOX1	1	0	0	2	4	6	5	4	3	3
MYOD1	0	0	1	0	0	0	0	0	0	0
SERGEF	1477	1608	1142	1094	1873	1544	1635	1863	1281	1246
KCNC1	7	3	12	6	7	11	33	2	1	9
TPH1	20	5	7	10	18	12	1	13	10	12
CSRP3	5	2	4	6	6	15	3	4	3	1
E2F8	0	0	0	0	0	0	0	0	0	0
DCTD	2515	2958	1856	2847	3595	2586	2228	2423	3037	2503
SOX15	0	0	0	0	0	0	0	0	0	0
PIMREG	35	102	76	4	74	43	56	62	12	32
RPAIN	943	866	780	537	912	1136	1065	1014	644	538
USP6	172	139	138	108	140	178	120	186	116	114
SHBG	18	25	16	29	42	28	23	18	30	45
PLD2	572	666	388	567	966	524	486	546	665	578
AIPL1	3	4	4	6	9	9	9	10	12	8
CD68	0	0	0	0	0	0	0	0	0	0
TXNDC17	2257	3421	2423	1483	2243	2890	2174	2830	1834	1621
ATP1B2	286	218	74	40	793	319	213	128	61	104
FXR2	130	136	112	208	179	161	145	153	264	179
KIF1C	1457	2921	1612	1837	2343	2090	2067	2208	2003	2093
MPDU1	650	1124	862	738	923	769	662	1106	802	805
PHF20L1	2460	3826	2778	3732	3152	3721	3414	3932	4167	2722
LRRC6	942	995	687	183	636	1176	821	420	228	480
CCNT1	1825	1902	1501	2243	1739	2816	2087	2157	2419	1641
PUS7L	1179	1832	1087	574	1258	1287	1416	1094	725	702
KRI1	1051	1298	519	1019	1354	1142	1125	825	1120	814
ILF3	5422	6685	3918	7462	6956	5875	5733	5041	7934	5157
SLC44A2	5184	4493	2441	3586	6361	5833	3647	4358	4522	3852
AP1M2	1192	1401	1746	690	1283	1618	1042	2208	868	1184
CDKN2D	301	555	314	310	294	592	656	468	380	384
MTUS1	10720	7542	8650	5597	8477	13786	8751	10466	6677	5891
KLK14	40	34	39	3	12	29	18	25	16	18
SIGLEC9	360	405	340	213	389	356	234	343	347	268
KLK10	407	496	470	270	515	921	423	426	317	849
KLK8	0	0	0	0	0	0	0	0	0	0
NGDN	2040	2266	1620	2668	2862	2745	2479	2254	3234	2286
RIPK3	124	109	173	98	211	106	132	189	128	220
ADCY4	740	901	322	2663	1697	612	1242	793	2506	1735
RAB2B	1438	1029	777	1398	1495	1535	1514	1135	1735	1625
BCL2L2	21	6	9	21	22	25	12	14	18	23
AJUBA	61	49	40	105	75	65	24	75	113	65
DTD2	1	0	0	0	0	1	0	0	0	1
PARP2	1183	1013	891	763	1431	1344	1228	1002	842	922
HEATR5A	425	388	374	452	326	396	319	492	325	193
FOXA1	62	144	187	115	82	148	128	149	142	118
SNX6	3681	4315	3519	3743	4827	4364	4689	4706	4981	5941
EAPP	2958	2773	2275	2452	3585	3253	3270	2866	2752	2668
EGLN3	10259	12188	5396	11427	10000	9860	11963	7723	9540	6305
MIS18BP1	2104	2426	1905	1730	2158	2687	3065	2724	1894	1331
NRL	34	34	27	37	53	29	33	46	51	61
RNASE1	9405	12060	8958	4750	18362	13898	10280	10906	5553	12445
NEDD8	2	8	4	3	5	6	7	3	3	2
DAD1	8299	10158	8016	8216	9877	11967	10940	10089	9224	7900
TEP1	431	503	313	474	478	428	497	530	643	667
EPB41L4A	2472	2494	1574	3912	2460	3471	3691	2273	3972	3629
CDO1	377	374	185	152	547	332	342	317	234	339
REEP5	1811	2414	1912	1468	2390	2429	2243	2500	1862	2283
ITFG1	3668	4127	3346	2724	4383	4146	4648	4298	3336	3280
QRICH2	88	95	70	72	134	86	110	71	100	89
FOXJ1	83	236	125	12	130	215	178	78	16	138
SEC14L1	5913	4671	2146	6582	5752	7887	6481	3943	5877	4407
RHBDF2	1496	1537	955	6772	2026	1787	2433	2081	7975	6545
AANAT	17	15	16	90	11	23	44	24	161	110
ARHGEF6	1678	1363	881	1356	1934	1482	1231	1328	1519	894
MAP7D3	384	864	530	532	1142	393	974	668	673	484
FGF13	2016	1486	2196	560	1054	3924	1558	1296	555	1231
ASH2L	2088	2194	1496	1531	2509	2041	2043	2158	1889	1788
TTI2	622	598	525	401	733	607	581	654	614	618
ART1	6	10	16	10	2	11	7	8	14	9
CHRNA10	27	74	13	68	37	27	42	42	54	53
CDKN1C	329	379	274	456	424	576	541	301	373	338
SGO1	99	127	90	16	106	116	115	94	37	63
TTTY1B	0	0	1	0	0	10	0	0	0	0
RPS4Y1	4411	42	4128	5089	4881	5251	21	5400	5153	4012
TTTY1	0	0	0	0	0	10	0	0	1	0
VCY1B	0	1	0	0	0	0	0	0	0	0
VCY	0	2	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	2	0	0
CDH15	109	189	111	18	72	95	161	162	22	24
KLF16	36	44	12	22	33	37	22	31	30	28
TMEM8A	390	790	459	625	603	583	457	638	710	570
DOHH	916	1452	981	1091	1393	1113	989	1351	1178	1205
MAU2	2177	1576	1375	2304	2866	2135	1737	2043	2612	2090
SHC2	382	342	168	632	464	666	518	373	625	428
PLPPR3	16	14	15	8	22	9	10	7	3	17
INS-IGF2	0	0	0	0	0	2	0	0	0	0
ABHD17A	36	157	59	103	101	65	172	162	118	118
LBP	17	13	60	27	67	15	49	132	139	62
SYT5	0	2	0	0	0	3	1	1	0	2
TNNI3	9	20	23	2	2	8	29	13	2	9
CBFA2T3	198	233	70	108	300	254	323	124	148	123
GAMT	240	418	228	42	458	315	314	236	59	101
PUDP	742	1553	675	352	748	803	997	888	547	587
ERMARD	955	1152	684	524	1071	896	944	921	668	629
PHF10	1093	1519	1029	1723	1570	1398	1614	1356	1738	1280
PRRG3	548	707	189	793	747	335	538	431	862	160
GALNT8,GALNT8	87	77	46	100	124	107	129	92	134	259
KCNA5	411	423	54	92	960	316	392	70	73	199
CRACR2A	334	423	167	274	652	323	524	267	268	415
NXNL2	27	31	52	19	58	40	86	38	25	35
STARD8	621	625	272	526	626	636	868	508	662	864
FAM155B	2	2	0	4	12	7	3	6	0	2
GDPD2	2	0	1	0	2	1	1	0	1	0
SAT1	42894	39432	45501	111741	41394	68529	57112	77159	131796	115595
GNL3L	318	375	259	367	434	294	340	383	354	265
SH3BP4	1160	1396	882	914	1796	1648	1470	901	881	1396
MOSPD2	1470	1349	1020	1592	1448	1610	1371	1416	1775	1265
DOCK6	2404	2054	1203	3745	3098	2422	2232	2137	3631	1659
ECSIT	1207	1405	1074	1093	1427	1442	1319	1369	1333	1067
LDLR	6954	3777	3042	6665	6026	6208	3114	4298	7697	7170
ELOF1	1489	2244	1606	1385	2055	2090	1691	1938	1611	1650
TSPAN16	3	5	1	6	8	13	6	3	4	9
ANGPTL8	0	0	0	0	0	0	0	0	0	0
PRKCSH	3965	4545	3287	3046	5821	4550	3922	4377	4039	4278
CNN1	441	397	213	286	1088	723	781	288	333	421
CDC16	1526	2007	1713	1749	2489	2523	2433	2615	2027	1969
ZSCAN10	5	8	5	12	22	13	18	14	14	17
THEM6	708	682	740	132	644	649	468	889	187	307
NECTIN2	1947	2922	2004	12190	4597	3968	3119	5504	12142	9112
APOE	73	397	212	62	154	158	321	463	95	122
TOMM40	411	970	657	1008	1282	732	732	1328	1303	1284
APOC1	427	1048	848	170	393	975	677	1108	168	213
GADD45G	31	14	23	53	46	42	29	41	73	56
LRCH2	758	808	584	857	705	1420	1511	817	947	1247
DPP6	331	391	528	221	409	446	260	520	283	300
XPO7	2193	1905	1795	2008	2012	2257	2106	2398	2006	1479
ACE2	36	75	102	66	109	78	68	99	53	181
FAM98C	398	522	368	312	698	603	573	550	326	405
SAFB2	4509	4864	3604	6857	5330	6652	6871	5639	7023	5493
RPL36	8046	14539	9820	8430	10093	12920	13897	12269	8282	7933
ATP8B3	88	94	33	32	140	58	67	56	56	41
GDF1	0	0	0	0	0	0	0	0	0	0
NCAN	6	12	13	13	16	16	19	9	14	14
KIF1A	81	33	12	28	62	145	63	28	42	48
GTPBP3	926	903	545	458	1019	716	803	794	564	564
PLVAP	10855	8720	1911	7469	14453	5735	9516	9200	8279	14293
BST2	2804	4968	2480	2071	3171	5041	9143	5656	4699	20229
SLC27A1	301	260	189	217	427	308	241	266	251	176
NSUN5	982	1257	970	918	1283	1226	1050	1370	1182	1192
USHBP1	363	295	128	404	659	309	376	204	371	272
COLGALT1	2730	4247	2822	3278	5705	2991	3665	3694	3221	3256
DDA1	1319	1746	1313	1803	1806	1601	1271	1778	1972	1487
MRPL34	0	0	0	0	0	0	0	0	0	0
PGLS	794	1395	799	589	960	695	678	1021	675	712
LSM7	0	0	0	0	0	0	0	0	0	0
TULP4	3486	3042	2014	4026	3447	3102	2439	2890	4235	2176
SNX9	3671	3915	2376	8208	6154	5801	5723	3296	7805	5398
RTN4IP1	208	351	151	136	236	244	276	260	174	275
QRSL1	756	671	532	569	806	677	734	724	676	641
C6orf203	582	887	476	281	779	622	569	623	408	459
RSPH3	950	941	843	426	964	1055	864	918	543	611
MAS1	1	1	0	1	4	4	5	2	1	2
ACSBG2	0	0	0	0	0	0	0	0	0	0
MLLT1	881	1205	815	964	1183	1140	1187	995	1023	952
FUT5	0	0	0	0	0	0	0	0	0	0
BMP15	0	0	0	2	0	0	1	2	4	1
AFDN	7630	8137	7556	14078	7153	12954	12024	9210	11833	8000
ACTN4	20249	18544	13235	19794	25794	22267	15595	18479	22782	22308
STK33	819	1136	1216	202	785	1088	934	1051	219	466
NDUFA10	3396	3663	2793	2680	4034	3293	3270	3690	3182	2808
EPO	6	9	12	0	9	11	8	5	2	9
ARPC1B	5389	6943	5024	4355	6789	5625	4730	6430	5271	4945
CACNG6	11	22	9	12	6	18	19	12	11	14
ZSWIM6	4344	4579	3266	6326	4843	6288	5936	5179	6361	4394
FCHO1	255	242	162	160	341	236	240	274	223	186
UNC13A	25	49	18	119	68	63	38	44	125	47
MAP1S	2118	1620	1322	3049	2222	1932	1440	2094	3531	2088
KLHDC7B	36	128	63	16	57	60	90	79	67	236
SCO2	221	443	258	270	324	337	349	373	367	544
PXDN	10011	10045	3671	35588	15937	9576	7743	9482	31874	15656
SSBP4	224	414	192	123	385	406	473	253	175	332
GDF15	5166	3358	9398	4194	4411	14203	8818	7976	4363	3634
PGPEP1	1319	1071	937	601	1589	1588	1230	1178	700	621
IQCN	127	113	72	110	173	109	71	76	91	103
LSM4	3419	6049	3589	1832	3946	3764	3902	4406	2030	2757
JUND	370	1117	806	1095	568	1085	1101	1592	1098	846
HRC	59	67	12	22	100	37	75	11	27	20
TRPM4	985	978	415	1631	2164	1050	1341	728	1455	1921
OR11H1	0	0	0	0	0	1	0	0	0	0
SULT4A1	33	16	26	8	20	37	45	16	14	6
ZNF557	547	649	343	351	757	546	425	466	463	477
CRB3	736	821	1169	1005	668	1167	661	1265	998	790
OLFM1	273	531	429	211	613	515	793	553	256	360
CAMSAP1	877	962	799	714	977	1595	1132	836	782	746
UBAC1	474	658	566	262	732	831	562	595	334	456
SAG	8	4	3	5	8	16	20	5	8	7
ZBTB46	665	728	498	1208	1227	817	915	814	1258	968
HELZ2	611	537	607	1554	702	1033	2059	1633	3123	6750
SAMD10	0	0	0	0	0	0	0	0	0	0
LSP1	2560	3803	2122	880	4101	3558	2740	2616	1113	1925
TNNT3	79	119	112	38	267	106	388	59	28	65
TNNI2	72	106	69	25	77	88	69	62	21	44
H19,H19	2645	7688	5446	1416	3632	5490	8616	7567	1212	1614
CYP2G1P	2	2	1	4	4	1	5	0	1	4
COL5A1	3068	3723	1196	2776	5586	3248	4839	1931	2766	2000
ATXN10	4417	5165	4143	4197	5520	4701	4283	5107	5017	4021
TUBGCP2	2531	2907	2042	1958	2943	2691	2466	2789	2291	1977
CALY	0	0	0	0	0	0	0	0	0	0
CYP2E1	36	33	7	19	86	56	29	52	50	65
PNPLA7	174	187	63	90	252	161	167	135	135	140
HBZ	0	0	0	0	0	0	0	0	0	1
PAK4	952	1177	870	1988	1677	1406	1097	1500	2067	1350
MNX1	10	7	8	9	2	12	5	10	13	11
ZNF337	665	630	467	503	780	558	607	609	541	534
CEP85	433	454	374	205	475	377	295	508	332	289
TAF4	197	364	203	369	361	334	356	341	369	233
GATA5	13	58	30	98	165	81	145	51	84	142
RBBP8NL	6	2	9	8	7	10	8	5	0	11
LAMA5	1057	2163	1067	1651	1974	1902	2585	1645	1693	1544
OSBPL2	3006	2227	2029	2418	2865	3494	2678	2714	2913	2381
ADRM1	3014	4107	2376	4648	4023	3817	2842	3686	4640	3932
ASS1	1934	1594	2192	1680	2328	4208	1924	2525	2064	3339
PRDM12	4	3	6	9	6	8	4	9	10	13
EXOSC2	685	862	574	510	914	648	617	743	609	529
POMT1	666	700	432	286	858	541	618	597	404	442
UCK1	626	684	517	498	1092	708	587	849	769	782
FIBCD1	355	548	120	391	377	281	325	281	558	318
PRRC2B	3304	3048	2386	3954	4490	3416	3601	3488	4833	3517
CHMP2A	3365	4325	3257	2939	3871	5040	3960	3921	3601	3364
UBE2M	248	612	380	439	420	465	538	511	437	339
TRIM28	1050	2329	1576	2024	1841	2209	2009	1985	1789	1512
METTL26	2579	4389	3238	2045	3969	3442	4097	3802	2277	3272
YIPF2	2826	2282	2274	1446	2193	3621	3025	2883	2001	1507
ATG4D	66	101	75	155	95	76	92	99	166	78
EIF2S3	6608	8533	6676	6274	8376	6785	7610	7704	6970	5820
TMEM160	473	1489	972	637	1316	1097	1063	1705	799	943
ZC3H4	698	973	679	867	890	674	676	912	1026	781
NPAS1	42	37	42	39	83	43	34	59	26	24
GMFG	1430	2426	1333	1610	2372	1766	1948	1970	1894	1596
MAP3K10	96	103	95	157	165	79	126	108	150	139
ARHGEF16	203	249	225	106	168	272	221	267	63	142
LRRC47	276	559	414	414	804	516	539	790	636	667
SESN2	3647	3308	2757	6656	4623	4862	3777	3813	5736	3306
SMPDL3B	48	59	73	29	60	26	30	64	39	50
ATP5IF1	2706	3423	2789	1377	3583	4461	3161	3083	1557	2003
MED18	266	315	265	142	269	331	263	270	143	162
THEMIS2	1157	1183	1069	951	1945	1477	1542	1392	1256	3022
CLIP1	9000	9434	7073	10039	9569	11854	9487	8885	11021	8586
CCDC62	95	81	45	76	61	125	96	67	74	56
HIP1R	1254	1123	887	897	1577	1662	1196	1457	888	1058
ZNF317	2072	1140	1018	2029	2233	1865	1453	1552	2277	1590
PPAN	0	0	0	0	0	0	0	0	0	0
EIF3G	2254	3303	2088	2612	3189	3128	2913	2621	2569	2530
ANGPTL6	24	24	18	19	43	22	54	39	19	24
C19orf66	811	783	485	985	1080	893	1351	885	1436	2540
DNMT1	1913	3086	1655	2041	2264	2043	2337	2254	2163	2048
ZNF426	1012	921	544	757	1307	880	887	644	940	801
SLC6A8	391	840	499	289	552	1271	957	369	362	470
PNCK	257	457	188	71	122	371	315	111	24	100
DKC1	2030	2906	2059	2365	2567	1993	1758	2360	2433	1749
PLXNA3	505	638	429	445	567	684	642	567	450	472
DUSP9	1	0	0	1	1	6	4	0	0	0
MPP1	1790	1815	1389	1018	1833	2007	1589	1677	1184	1016
ZNF331	3857	2148	3456	4179	4183	5461	4031	4791	4826	4371
ZNF236	1077	1286	807	798	1275	1150	1368	1197	890	845
SLC7A10	8	10	9	10	5	21	9	11	9	8
LRP3	62	157	91	49	161	88	82	65	59	69
C12orf65	703	1117	576	420	514	637	635	783	384	333
NOL11	1519	1680	1206	2015	1956	1447	1542	1473	2049	1447
UBE4B	3071	2877	2008	2370	3142	3227	3207	2780	2483	1703
CASZ1	1207	1141	1069	1973	1133	1968	1502	1190	1978	1469
PKDREJ	2	4	4	7	2	5	8	3	3	2
HSD17B3	51	85	68	48	98	51	104	72	74	70
NUTM2F	204	315	203	233	333	301	331	253	235	253
HABP4	227	221	120	168	329	310	412	175	178	168
FBP2	5	7	2	8	7	17	7	9	17	10
SLC35D2	533	529	419	384	472	505	662	517	420	372
PRRG1	0	0	2	1	0	0	0	0	0	1
UBA1	4153	5387	3489	5395	5990	4800	5128	4817	5998	5276
RGN	160	115	71	32	332	156	171	105	31	108
POLN	553	657	366	254	717	492	570	510	381	453
TXLNGY	1142	2	1084	734	1288	1428	3	1474	1017	786
TTTY9B	0	0	0	0	0	0	0	0	0	0
PPIL4	3596	3868	2916	4462	4416	4585	4481	3636	4955	3488
ULBP2	300	333	91	128	265	219	271	260	150	122
AKAP12	12462	11467	7111	25060	10466	19762	19507	9689	24452	12163
SYNE1	9070	10416	5934	13470	9275	10407	9551	8500	12749	5335
ULBP3	19	39	32	4	49	16	14	22	13	11
LATS1	3211	2463	1650	2923	2681	3060	2983	2869	3579	2634
EPS8L1	436	510	402	536	659	1168	359	706	465	667
LILRB2	239	245	264	224	356	390	216	415	388	707
AAR2	1719	2016	1419	1784	2305	1885	1666	2015	2140	1786
TTLL9	100	173	85	82	172	155	127	85	79	115
BPIFA2	65	49	37	28	40	72	43	57	35	7
RBM39	15796	13579	10528	19821	18499	19339	18305	15383	20699	15357
COX4I2	391	817	228	268	900	623	694	407	368	236
BPIFA3	3	1	1	0	2	7	1	2	4	0
ZNF341	193	144	146	110	256	189	145	205	241	252
GGT7	1664	1224	1034	1316	2338	1408	1590	1415	1929	1447
DEFB118	0	0	3	1	2	0	1	0	0	3
ACSS2	3894	3082	2936	1537	3445	4579	2761	4483	2097	3329
EDA2R	669	569	338	130	934	553	603	254	152	354
ARHGEF9	1125	1073	692	489	1470	902	1190	964	698	665
C1QL1	6	7	2	3	16	12	12	6	7	2
GFAP	15	11	6	14	11	4	9	15	3	2
PYY	61	42	49	38	80	77	85	33	58	82
HIGD1B	188	218	110	59	252	213	218	144	65	95
