Gene	GSM5073707_neg_1	GSM5073708_neg_2	GSM5073709_neg_3	GSM5073711_neg_5	GSM5073714_pos_3	GSM5073719_pos_8	GSM5073720_pos_9	GSM5073722_pos_11	GSM5073724_pos_13	GSM5073729_pos_18	GSM5073730_pos_19	GSM5073732_pos_21	GSM5073734_pos_23	GSM5073738_pos_27	GSM5073739_pos_28	GSM5073744_pos_33
FEZF1	12	4	6	27	9	4	2	23	52	21	36	19	5	6	4	174
OPN1SW	2	3	0	12	2	0	0	6	4	4	0	2	2	0	3	0
MRPS12	13	6	6	20	39	2	6	64	170	158	26	12	6	13	1	265
MYO1B	166	97	71	212	60	15	37	245	1361	2293	426	304	40	201	7	1380
HOXD1	0	0	0	10	0	1	0	1	2	4	1	5	0	1	2	0
HOXD3	6	1	0	19	4	1	2	8	4	4	4	5	1	1	3	3
MTX2	26	17	12	49	35	3	10	96	327	445	59	27	9	45	4	392
PDE11A	40	10	10	33	1	0	0	1	14	45	1	6	1	3	3	10
CHN1	26	10	2	44	38	2	12	15	25	20	7	14	3	3	7	18
GAD1	24	14	3	22	5	2	1	8	11	10	15	14	3	6	6	12
EIF2S2P4	3	1	3	6	1	0	1	3	16	26	11	6	3	3	1	24
OSGEPL1	12	8	1	15	27	2	4	4	122	127	16	10	1	16	1	80
ORMDL1	44	32	18	29	54	4	16	70	579	845	41	54	10	68	1	337
HAT1	68	26	19	39	60	6	28	223	599	658	68	46	2	69	2	382
HOXD9	8	4	4	13	3	1	2	0	3	0	3	1	0	1	0	1
HOXD10	4	1	5	8	2	3	3	0	3	4	5	3	2	1	6	1
HOXD11	5	3	4	2	1	3	1	0	1	1	2	0	0	0	0	0
HOXD13	10	2	0	12	2	1	2	1	1	1	2	1	3	1	1	0
HERC2	150	176	49	228	177	34	93	327	1748	2235	392	418	68	243	47	2849
SNRPN	4	6	0	8	22	0	9	28	51	87	12	12	3	11	2	89
PSMG2	36	20	20	42	79	2	25	73	473	471	45	44	4	38	2	290
TWSG1	33	21	13	33	19	4	9	49	714	684	31	55	19	61	4	377
ARHGAP22	46	23	4	52	19	0	13	10	25	38	12	17	2	4	4	45
WDFY4	66	19	26	194	753	50	174	201	112	181	50	72	23	22	32	277
EIF2AK4	101	40	34	87	68	13	34	213	802	1106	130	118	26	105	10	885
MYO5C	155	279	92	195	61	18	39	708	2849	3437	513	637	79	352	13	3444
CGNL1	59	38	8	79	14	4	11	97	252	400	27	48	8	29	6	312
TMOD2	36	14	4	40	36	3	14	76	206	327	27	26	2	26	3	222
TTBK2	68	55	33	104	125	12	35	203	991	1521	304	203	36	153	10	2277
ELL3	3	2	0	4	0	0	0	0	3	4	2	0	0	0	0	5
CCDC32	20	23	23	49	52	3	20	83	180	318	75	40	12	33	10	831
INO80	58	49	29	66	93	14	54	258	689	707	126	148	30	91	20	1156
ICE2	92	42	21	107	188	7	48	117	1235	1166	132	101	26	85	9	827
DLL4	26	4	8	36	2	4	2	6	14	6	4	8	4	5	5	7
ALDH1A2	28	23	5	30	3	6	7	1	14	15	8	5	2	3	5	44
MINDY2	89	61	23	37	43	7	46	185	919	1255	148	88	16	114	1	691
IVD	52	43	16	90	69	9	23	157	574	871	144	98	11	61	11	1649
KNSTRN	11	13	1	17	23	1	10	27	136	124	20	13	3	9	1	138
DUT	20	7	2	25	76	6	47	133	550	505	49	63	7	49	9	389
CHAC1	5	6	4	7	1	3	3	15	30	23	3	4	4	4	0	83
CLN6	40	21	8	45	23	2	6	48	113	101	27	17	4	11	5	237
ARPP19	123	103	25	116	422	19	166	566	2108	2255	231	191	28	150	9	971
VPS13C	417	344	134	332	815	57	238	1268	9846	11361	1093	1207	160	898	13	4754
CALML4	3	1	3	3	1	0	0	0	22	29	1	1	0	0	0	46
ISLR	21	14	5	19	6	0	0	4	205	225	2	3	4	21	1	117
THAP10	18	1	3	11	0	0	1	19	58	67	23	6	1	5	0	115
LOXL1	20	9	6	12	15	2	3	15	158	80	20	9	2	13	3	165
ACKR4	1	5	3	3	0	3	2	0	31	38	5	8	1	2	3	23
ANAPC13	50	23	14	61	53	3	25	170	561	645	94	90	12	45	2	620
MBD4	37	36	10	40	149	11	45	163	583	422	80	85	15	40	4	594
COPB1	130	67	55	75	143	16	69	401	1899	2304	190	259	31	177	9	1366
PSMA1	9	11	2	8	26	0	7	29	206	198	17	13	1	13	2	44
SUMF2	76	27	21	61	69	8	25	246	949	1434	155	137	15	105	3	2854
PALLD	163	170	87	208	81	10	41	426	1908	1512	389	315	72	149	14	2836
SPCS3	74	77	12	77	178	11	65	248	1751	1776	127	139	20	144	1	917
BBOX1	14	11	5	29	0	0	4	7	54	77	21	7	4	4	2	150
MYOD1	5	1	3	4	0	2	1	2	1	1	2	5	2	2	0	2
SERGEF	11	6	12	19	32	3	14	79	145	165	29	14	3	10	5	192
KCNC1	51	25	3	82	5	0	1	2	5	8	1	7	0	3	6	13
TPH1	24	20	3	15	2	1	2	1	54	25	7	7	2	4	1	26
CSRP3	32	12	0	12	2	4	4	3	1	1	1	7	0	2	0	10
E2F8	41	19	12	19	9	2	9	51	268	164	36	33	5	13	3	363
DCTD	40	26	40	58	45	8	21	55	455	650	114	96	11	55	9	1149
SOX15	8	11	2	11	2	1	2	17	99	61	14	14	4	8	2	101
PIMREG	8	3	0	51	1	2	3	23	28	11	4	3	0	1	0	10
RPAIN	37	39	17	64	49	8	17	34	328	395	71	66	9	46	7	617
USP6	34	23	18	45	7	6	6	13	26	32	24	15	6	9	1	13
SHBG	9	3	5	28	3	4	4	3	7	7	6	4	4	1	5	10
PLD2	54	72	27	54	26	4	12	74	336	424	74	92	15	46	5	448
AIPL1	31	12	2	36	5	2	5	29	3	6	1	4	3	2	6	1
CD68	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1
TXNDC17	30	15	15	41	37	3	12	80	301	288	33	54	5	22	4	205
ATP1B2	29	5	3	7	4	1	1	4	3	4	4	1	1	0	2	8
FXR2	46	47	29	40	26	9	24	104	297	379	82	53	11	46	4	930
KIF1C	271	219	136	245	170	20	84	592	1890	1737	447	619	72	219	15	3210
MPDU1	37	18	16	49	44	4	7	84	390	422	45	31	5	39	5	1549
PHF20L1	80	106	29	106	130	9	59	266	2094	2326	132	281	21	183	5	1047
DNAAF11	94	62	41	93	28	12	12	364	660	1327	292	184	45	143	6	2615
CCNT1	77	61	12	53	146	5	42	219	965	1092	98	108	15	96	7	910
PUS7L	89	63	19	60	138	12	60	227	1091	943	101	104	16	67	9	391
KRI1	44	38	14	47	67	5	24	67	281	290	76	67	11	42	5	588
ILF3	155	133	53	183	332	26	121	454	2188	2362	464	389	60	232	16	5020
SLC44A2	74	72	17	124	148	10	80	127	1533	1796	98	204	19	140	8	1792
AP1M2	79	26	18	77	13	2	10	217	594	764	127	79	26	58	3	1447
CDKN2D	11	9	0	1	15	1	6	114	81	51	21	12	1	11	0	132
MTUS1	192	201	64	181	72	10	51	721	2901	2812	288	357	36	264	14	3637
KLK14	22	6	1	7	2	3	4	1	0	5	6	6	0	0	2	4
SIGLEC9	10	1	1	25	10	2	0	17	11	12	5	13	1	3	1	14
KLK10	31	10	3	28	0	4	7	65	92	134	10	16	4	15	3	141
KLK8	5	1	0	19	0	0	0	0	1	2	0	0	0	0	3	0
NGDN	26	25	16	17	78	5	14	61	308	371	43	43	1	41	1	405
RIPK3	14	19	7	19	25	2	7	51	116	98	33	40	8	9	2	131
ADCY4	45	24	6	31	9	1	7	11	51	32	9	26	12	2	5	37
RAB2B	57	35	0	30	32	3	20	222	319	400	54	48	19	37	5	306
BCL2L2	67	48	44	77	21	3	12	190	516	596	116	108	12	43	1	2049
AJUBA	30	21	0	25	10	3	8	30	305	441	20	16	5	39	2	201
DTD2	6	4	3	18	38	0	9	83	246	272	43	32	0	14	2	250
PARP2	35	17	10	29	15	3	8	57	280	238	42	52	7	16	4	333
HEATR5A	37	27	10	75	74	2	19	107	706	790	102	111	12	65	6	695
FOXA1	146	139	48	134	27	11	27	532	2280	2664	376	314	33	216	1	3628
SNX6	90	71	26	48	101	9	69	221	928	913	92	99	30	81	6	855
EAPP	61	34	15	58	44	7	29	107	448	560	89	71	11	45	1	798
EGLN3	92	36	10	103	19	0	5	59	237	347	99	71	19	38	1	1112
MIS18BP1	58	35	9	42	111	5	55	152	1118	672	88	108	17	59	1	332
NRL	20	12	8	39	5	1	6	4	35	22	8	8	0	5	2	108
RNASE1	16	12	3	15	7	2	1	4	84	24	2	9	3	8	1	50
NEDD8	22	11	2	13	14	3	24	61	310	322	36	59	4	20	0	380
DAD1	45	17	12	68	69	6	16	138	527	611	44	50	14	47	0	678
TEP1	145	126	40	187	288	15	60	272	715	944	228	287	68	83	20	1599
EPB41L4A	38	35	15	96	29	9	16	242	818	1111	151	150	32	110	7	1317
CDO1	8	6	1	7	1	1	0	2	1	2	1	0	0	1	0	1
REEP5	97	48	38	62	111	7	27	151	1692	1757	103	165	19	144	1	1211
ITFG1	48	39	11	49	26	7	17	72	1044	1120	99	118	26	99	4	595
QRICH2	32	27	18	60	8	9	10	15	97	162	39	28	8	24	7	182
FOXJ1	336	101	159	360	230	25	79	1705	1807	3571	1838	783	127	469	8	27828
SEC14L1	239	109	66	243	130	13	63	608	1230	1531	477	291	46	156	5	4939
RHBDF2	68	42	7	76	147	14	32	92	135	147	44	74	21	15	7	443
AANAT	10	3	0	12	5	4	3	1	2	0	7	1	3	1	3	3
ARHGEF6	64	33	20	64	216	16	86	359	569	731	145	200	26	70	4	751
MAP7D3	11	18	3	25	18	2	24	62	122	103	23	21	5	9	5	122
FGF13	37	23	17	38	8	0	1	44	54	136	10	5	1	4	3	22
ASH2L	51	32	19	78	91	4	43	184	603	569	77	55	14	45	5	1002
TTI2	11	8	6	10	17	4	11	25	164	151	28	29	11	24	5	225
ART1	13	9	0	16	2	2	5	4	3	5	2	1	2	0	1	2
CHRNA10	11	8	5	11	3	2	0	16	8	31	13	8	1	3	0	98
CDKN1C	13	2	2	12	4	0	6	91	68	85	9	16	3	9	2	156
SGO1	9	1	0	10	5	1	5	5	77	45	2	10	0	3	4	13
TTTY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS4Y1	126	0	27	141	5	4	0	661	1977	2353	214	4	39	183	12	0
TTTY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2B	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CDH15	26	10	0	49	11	8	3	9	13	14	4	4	3	6	14	3
KLF16	16	3	13	23	25	2	13	69	79	89	42	19	3	14	0	875
PGAP6	64	34	7	92	48	5	14	81	254	280	47	61	12	29	6	1082
DOHH	17	15	7	26	10	0	8	69	60	56	29	8	2	7	1	355
MAU2	92	64	45	127	112	10	47	177	463	671	164	115	19	60	4	1809
SHC2	37	19	11	34	3	5	2	5	9	64	8	14	3	2	1	10
PLPPR3	26	1	8	23	5	3	4	70	101	172	66	55	3	28	0	613
INS-IGF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	46	22	12	65	87	6	36	201	196	253	73	61	8	22	7	591
LBP	3	6	4	17	3	1	2	3	2	4	2	5	0	1	2	1
SYT5	37	14	10	27	3	2	2	9	103	18	28	33	15	15	5	291
TNNI3	16	14	3	20	0	0	0	21	31	14	5	5	5	6	1	16
CBFA2T3	32	12	1	60	57	6	11	2	10	28	7	13	5	4	6	39
GAMT	18	5	5	13	2	2	1	38	79	64	7	3	0	6	3	25
PUDP	14	17	8	29	30	3	14	144	226	294	47	67	7	27	3	859
ERMARD	25	28	6	46	30	4	13	100	548	440	74	48	12	37	8	633
PHF10	58	67	28	60	97	5	56	178	1177	1171	114	124	18	90	9	882
PRRG3	12	10	14	22	2	1	0	1	1	21	1	1	0	4	3	39
GALNT8	16	7	3	22	1	0	2	0	0	2	0	3	0	2	1	3
KCNA5	15	9	0	17	4	1	2	7	8	7	6	5	0	2	3	2
CRACR2A	94	55	39	141	62	7	27	376	520	861	260	178	43	71	6	1756
NXNL2	7	4	4	7	1	1	1	4	0	6	6	0	1	2	2	3
STARD8	17	10	8	10	22	6	13	45	8	16	9	13	2	8	11	17
NALF2	8	12	3	44	3	0	0	3	6	23	3	4	1	3	2	60
GDPD2	9	9	2	10	0	1	3	11	6	15	9	5	2	6	1	20
SAT1	1217	1210	374	1199	369	57	362	2751	7750	6896	1527	2007	379	692	29	24947
GNL3L	81	76	62	176	191	9	60	276	585	847	208	160	24	81	7	1606
SH3BP4	86	74	26	153	15	7	16	305	846	991	219	164	25	95	7	1784
MOSPD2	30	18	6	14	33	4	14	51	404	439	42	51	5	50	3	360
DOCK6	102	67	15	130	33	13	13	142	345	372	128	137	29	39	18	496
ECSIT	35	15	14	47	37	6	6	62	271	310	50	46	9	34	3	523
LDLR	91	111	33	90	19	11	12	54	483	1429	207	141	22	104	10	2704
ELOF1	48	24	12	77	58	4	19	129	263	281	71	41	8	39	1	1057
TSPAN16	5	1	3	3	0	1	0	0	3	1	2	3	2	2	3	1
ANGPTL8	4	4	0	7	2	1	2	2	11	3	4	8	2	0	0	2
PRKCSH	112	64	18	148	155	15	55	383	905	1126	221	160	23	79	8	2653
CNN1	26	9	2	20	2	2	3	2	11	10	9	9	2	4	3	48
CDC16	72	50	27	94	85	15	42	245	1058	1561	193	170	19	113	2	1938
ZSCAN10	20	7	2	11	3	1	1	2	4	7	3	3	0	1	2	2
THEM6	21	11	3	34	5	2	3	57	191	282	25	27	1	28	0	477
NECTIN2	47	31	7	46	17	5	29	134	474	519	79	81	17	62	2	1543
APOE	57	28	6	18	61	6	78	203	169	9	17	24	8	11	6	68
TOMM40	46	16	6	51	58	6	20	48	256	272	63	61	7	31	8	582
APOC1	12	9	0	1	4	0	10	16	32	5	4	1	0	1	1	4
GADD45G	17	4	1	4	2	1	2	45	36	66	38	21	0	7	0	241
LRCH2	6	4	1	17	0	0	8	7	18	7	2	5	0	1	3	4
DPP6	72	40	7	86	4	3	10	8	25	16	17	12	16	11	12	7
XPO7	60	51	37	131	141	12	36	315	1057	1036	158	134	22	89	7	1591
ACE2	5	0	0	7	0	0	0	20	11	11	1	2	0	2	2	18
FAM98C	32	19	14	33	9	1	7	68	145	206	45	48	8	14	3	464
SAFB2	73	69	16	64	103	7	37	269	465	485	163	149	37	62	11	1198
RPL36	369	105	66	426	955	27	339	826	2956	2767	334	257	35	280	31	2581
ATP8B3	44	13	11	67	3	5	9	7	12	22	19	12	5	4	11	17
GDF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAN	21	11	11	35	9	4	3	9	6	8	14	6	5	7	8	5
KIF1A	125	43	26	173	17	11	9	30	36	41	29	24	11	10	21	16
GTPBP3	32	27	9	27	13	2	5	30	68	101	23	26	4	7	2	286
PLVAP	15	7	0	12	0	2	3	34	28	8	5	8	1	6	4	82
BST2	32	22	22	48	34	2	26	168	879	444	62	92	10	36	2	6283
SLC27A1	60	26	8	73	14	3	7	88	226	356	94	66	12	33	3	1898
NSUN5	26	14	2	35	62	3	12	63	169	172	44	34	6	10	1	491
USHBP1	26	6	4	32	5	0	4	5	1	4	7	6	4	1	0	5
COLGALT1	34	33	21	63	22	7	18	95	322	296	44	46	7	31	4	522
DDA1	46	20	28	58	60	6	25	93	230	234	62	35	9	23	0	886
MRPL34	18	7	4	13	37	4	8	58	119	143	38	18	4	16	0	528
PGLS	36	8	1	15	86	3	15	123	365	299	73	48	7	28	4	794
LSM7	39	13	10	30	39	1	24	87	216	178	25	25	2	16	1	418
TULP4	173	99	44	201	272	23	92	619	1633	2064	346	287	33	187	17	3235
SNX9	56	50	8	65	69	9	39	191	440	534	105	75	16	41	10	838
RTN4IP1	15	18	7	25	12	1	13	71	114	143	30	16	4	17	2	224
QRSL1	39	23	7	59	110	10	51	71	368	441	49	46	13	28	4	506
MTRES1	13	9	4	25	20	1	3	39	134	180	23	30	4	13	0	173
RSPH3	184	93	55	162	78	15	22	719	1235	2342	531	329	90	239	6	3988
MAS1	21	14	11	36	1	0	0	1	2	1	2	2	0	1	1	10
ACSBG2	23	8	7	15	5	2	4	5	5	9	8	12	1	5	6	6
MLLT1	74	39	12	62	44	9	29	123	366	482	109	136	10	46	3	1304
FUT5	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
BMP15	0	0	0	4	2	1	7	1	8	10	1	4	0	4	1	7
AFDN	377	348	191	403	241	38	99	1096	3486	6147	1286	991	213	642	14	10992
ACTN4	343	305	154	439	256	48	134	1056	3351	3784	793	666	114	361	15	11830
STK33	139	88	39	136	90	7	16	325	1042	1907	482	288	68	223	0	4721
NDUFA10	100	66	24	115	87	13	39	315	952	1191	160	156	15	116	5	1716
EPO	6	7	2	11	1	0	1	6	1	2	3	1	1	0	0	2
ARPC1B	12	2	5	13	3	1	8	13	28	28	11	13	2	7	0	47
CACNG6	12	13	8	35	14	1	5	137	71	157	78	53	8	17	0	2250
ZSWIM6	47	47	22	73	51	10	15	94	571	732	80	88	12	78	10	648
FCHO1	32	16	7	76	100	6	19	39	32	28	25	27	9	3	4	58
UNC13A	82	38	10	76	14	12	9	19	15	18	15	11	7	9	7	11
MAP1S	24	19	15	29	35	7	18	59	127	153	52	35	6	16	10	595
KLHDC7B	42	7	13	54	20	3	18	173	195	50	47	98	16	12	5	3085
PXDN	52	31	15	89	11	5	9	20	30	60	17	12	7	5	14	16
SSBP4	60	19	18	74	93	10	21	401	445	639	275	150	30	97	8	3303
GDF15	29	23	7	25	2	0	10	46	46	47	15	47	3	10	2	244
PGPEP1	108	115	51	115	58	5	20	255	402	637	183	149	25	65	10	2398
IQCN	58	43	11	86	44	11	10	92	114	312	70	85	16	52	7	897
LSM4	55	27	5	43	76	1	15	147	381	451	116	80	5	42	6	1311
JUND	33	18	15	43	162	7	43	224	235	268	100	85	8	47	3	1686
HRC	14	7	1	6	4	2	1	9	1	2	3	6	0	2	3	3
TRPM4	113	71	11	128	17	11	25	125	589	665	131	174	16	67	9	1111
OR11H1	1	0	0	4	2	1	0	1	0	0	2	1	1	0	1	0
SULT4A1	15	5	15	27	0	2	3	5	1	2	2	1	0	1	2	1
ZNF557	55	28	11	65	97	5	19	118	242	453	69	80	9	28	1	486
CRB3	16	4	9	11	7	3	2	28	117	143	33	23	0	25	2	564
OLFM1	22	8	6	36	4	4	3	14	26	34	7	6	1	1	2	21
CAMSAP1	138	102	54	214	80	10	43	377	1268	1462	474	299	48	149	8	4251
UBAC1	92	47	44	83	48	7	24	157	583	998	244	134	30	91	9	2026
SAG	35	20	5	71	4	5	3	3	11	7	2	3	2	3	3	10
ZBTB46	36	18	8	52	40	1	10	42	50	53	34	30	5	12	2	203
HELZ2	91	58	15	147	79	14	41	342	452	485	159	199	41	70	14	10271
SAMD10	18	13	7	25	8	2	9	36	58	87	21	15	3	6	2	189
LSP1	117	52	24	135	384	19	104	651	180	67	177	224	40	35	16	847
TNNT3	50	17	9	61	18	8	8	29	31	109	32	29	15	12	6	130
TNNI2	29	14	23	8	3	5	3	16	16	5	8	8	3	2	1	12
H19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2
CYP2G1P	10	7	0	13	0	0	0	18	11	16	1	4	1	0	0	21
COL5A1	91	43	31	166	35	21	16	32	54	71	57	42	22	17	23	48
ATXN10	87	52	23	95	122	7	50	333	1452	1525	141	147	19	116	8	1404
TUBGCP2	159	59	91	170	106	11	48	345	711	1224	356	162	31	117	11	3675
CALY	7	5	3	16	2	0	1	1	2	3	5	3	0	1	1	1
CYP2E1	24	8	8	32	9	4	8	4	25	30	15	10	3	4	7	42
PNPLA7	127	45	19	140	9	6	13	26	217	346	70	99	17	34	6	173
HBZ	4	2	0	4	1	0	1	3	1	0	0	0	0	0	1	1
PAK4	59	31	17	79	29	5	19	160	320	462	172	103	12	49	4	2007
MNX1	7	5	2	28	5	1	1	7	3	5	0	3	0	2	6	6
ZNF337	4	4	19	40	66	5	17	44	306	415	75	57	7	37	5	398
CEP85	32	35	14	44	56	8	12	125	318	398	74	60	21	39	6	668
TAF4	59	24	9	72	23	3	15	50	183	170	44	47	9	23	5	389
GATA5	26	7	2	16	4	3	1	3	6	3	1	2	3	2	4	4
RBBP8NL	39	14	5	32	4	4	1	2	106	125	20	27	8	19	3	138
LAMA5	300	419	63	263	90	21	49	249	1632	1685	249	460	63	171	13	1517
OSBPL2	98	115	38	201	50	11	33	235	715	938	193	182	33	94	7	2019
ADRM1	48	36	10	64	54	5	38	103	516	482	136	89	26	54	2	1633
ASS1	167	101	79	233	27	15	26	530	1567	1394	180	359	25	141	11	1106
PRDM12	7	3	0	27	0	1	1	0	3	2	1	2	1	0	5	2
EXOSC2	25	24	3	41	44	1	19	25	238	263	41	42	10	26	0	302
POMT1	50	29	14	41	63	1	13	54	331	356	80	54	12	45	10	609
UCK1	32	27	8	35	34	7	16	113	297	354	57	47	10	26	2	736
FIBCD1	20	8	3	29	0	0	2	3	8	2	2	2	3	3	0	2
CHMP2A	78	46	37	68	80	4	27	198	673	766	186	127	18	74	1	1979
UBE2M	35	23	23	28	74	4	25	93	282	217	78	36	7	22	2	977
TRIM28	92	55	79	125	303	15	98	420	1600	1500	285	185	36	139	3	3144
METTL26	21	9	0	29	18	2	14	45	118	161	39	15	4	17	1	345
YIPF2	35	16	2	33	4	1	10	115	354	414	53	54	5	44	0	845
ATG4D	15	11	8	37	43	4	16	107	198	165	49	58	4	23	2	444
EIF2S3	143	91	33	166	938	36	323	750	2038	2265	263	225	39	181	13	2224
TMEM160	7	6	0	4	16	3	4	36	36	20	21	19	3	8	3	145
ZC3H4	92	62	36	149	116	14	53	218	430	695	182	167	34	70	4	1970
NPAS1	25	7	7	34	2	1	5	19	33	41	12	7	1	5	2	50
GMFG	29	5	12	26	130	5	58	55	93	13	20	35	5	5	3	65
MAP3K10	34	12	1	20	11	5	6	50	53	64	24	24	8	12	5	153
ARHGEF16	52	78	16	72	10	3	9	78	362	340	55	101	13	45	5	271
LRRC47	50	46	19	31	78	5	23	96	453	517	130	104	5	41	7	1724
SESN2	21	14	14	28	9	1	11	46	108	136	33	38	9	9	3	293
SMPDL3B	14	6	0	19	4	2	2	0	15	32	2	1	3	1	4	12
ATP5IF1	159	46	22	159	124	10	53	517	1032	1432	428	268	49	132	3	5127
MED18	82	89	20	128	20	0	19	575	183	253	42	47	22	29	9	473
THEMIS2	33	24	7	67	59	6	44	114	59	36	30	53	7	8	5	198
CLIP1	281	308	146	254	199	29	108	1093	2409	2446	633	682	129	274	15	6004
CCDC62	17	15	0	23	12	3	1	2	24	34	9	9	2	4	3	19
HIP1R	115	71	59	164	198	21	79	276	435	747	187	274	43	84	6	1559
ZNF317	41	24	29	21	88	8	33	80	361	494	95	62	13	44	5	852
PPAN	3	2	4	2	28	0	0	2	18	35	14	1	0	3	0	94
EIF3G	101	53	32	97	240	13	88	346	1092	1169	250	170	19	94	5	1759
ANGPTL6	8	2	0	9	5	0	1	16	5	3	7	8	2	2	0	16
SHFL	19	12	17	50	38	2	21	100	197	214	53	53	8	26	2	1888
DNMT1	94	103	58	116	260	21	108	436	865	650	230	257	50	113	18	2098
ZNF426	49	25	6	54	57	2	25	119	591	642	74	81	11	52	9	625
SLC6A8	57	37	19	51	8	3	9	64	288	377	49	46	6	23	9	714
PNCK	20	14	0	36	4	4	0	37	17	7	3	7	2	1	3	9
DKC1	37	35	11	12	76	10	42	168	419	503	80	77	8	37	3	766
PLXNA3	53	60	3	62	72	6	18	70	253	451	96	90	17	29	16	521
DUSP9	6	5	0	7	0	1	1	1	5	10	2	0	1	1	1	5
MPP1	22	19	10	16	19	0	11	59	55	53	19	23	2	4	5	65
ZNF331	48	29	3	34	58	4	20	55	273	271	40	25	11	33	2	403
ZNF236	42	38	28	53	65	6	31	134	448	620	97	83	21	56	7	526
SLC7A10	12	8	5	27	3	2	4	7	6	4	3	4	2	2	3	5
LRP3	18	8	2	34	4	4	2	18	86	65	10	19	2	8	1	78
MTRFR	30	15	2	22	44	0	14	35	124	163	18	25	5	11	3	268
NOL11	51	26	14	67	105	5	31	167	724	753	69	65	12	53	5	427
UBE4B	71	73	32	98	50	16	49	241	919	1009	150	158	31	92	7	1719
CASZ1	141	77	78	232	59	27	23	680	811	1303	480	378	65	155	7	4833
PKDREJ	10	6	2	20	10	3	6	10	3	10	12	11	2	4	8	6
HSD17B3	1	0	3	1	0	0	0	0	3	6	0	0	0	2	0	9
NUTM2F	10	6	1	7	4	1	1	15	4	3	12	7	1	2	1	1
HABP4	25	10	10	14	36	1	13	73	91	84	33	24	4	12	4	241
FBP2	0	1	0	8	1	2	2	1	6	5	3	1	1	1	1	9
PRRG1	10	9	3	17	3	0	1	1	49	46	0	6	0	6	3	14
UBA1	157	139	65	251	372	39	125	629	2039	2594	486	453	66	215	23	6892
RGN	8	3	2	10	1	1	2	3	17	26	5	4	0	1	3	5
POLN	25	13	1	43	0	0	1	8	7	10	3	5	0	4	2	41
TXLNGY	50	0	14	22	0	1	0	138	1202	1258	94	0	13	109	3	0
TTTY9B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIL4	67	46	14	35	43	10	21	148	639	735	124	104	26	72	3	749
ULBP2	7	2	0	8	2	0	0	4	2	9	4	0	1	4	2	3
AKAP12	55	14	4	27	6	4	11	45	241	203	25	37	7	16	9	325
SYNE1	650	610	534	871	701	116	228	2416	5725	12392	3852	2377	515	1473	86	20711
ULBP3	16	2	0	12	1	1	3	2	41	55	3	4	3	6	0	62
LATS1	49	46	37	69	150	4	43	299	1338	1447	145	141	19	129	8	992
EPS8L1	70	41	22	77	25	10	30	154	501	617	127	195	34	95	5	951
LILRB2	25	7	6	9	11	7	5	69	13	11	17	43	9	15	10	66
AAR2	29	13	12	35	41	7	15	129	315	382	65	46	4	40	5	770
TTLL9	72	86	33	79	38	14	10	212	329	872	324	188	60	106	3	2727
BPIFA2	9	4	4	16	3	3	5	8	29	22	4	14	3	3	2	4
RBM39	296	209	78	203	386	26	180	664	4321	5212	508	549	101	442	20	3044
COX4I2	3	0	0	3	0	1	0	2	1	2	4	0	0	2	0	0
BPIFA3	19	7	0	24	3	2	0	2	4	3	2	0	3	1	6	1
ZNF341	25	4	6	42	11	7	4	49	61	87	33	26	5	11	3	148
GGT7	69	45	5	22	16	5	14	84	621	712	63	113	13	61	6	776
DEFB118	5	6	0	4	0	0	2	1	0	2	0	2	0	0	0	0
ACSS2	56	44	15	93	43	7	19	79	496	620	109	124	11	63	9	915
EDA2R	5	3	2	5	3	2	3	1	28	8	3	6	1	3	4	9
ARHGEF9	53	51	31	69	66	9	29	57	301	365	76	55	15	26	5	580
C1QL1	0	3	0	4	0	0	0	3	1	0	2	1	0	1	0	1
GFAP	42	16	8	47	14	2	5	20	9	8	9	8	5	7	12	35
PYY	1	2	0	12	0	3	2	1	2	4	1	1	1	1	1	2
HIGD1B	6	4	0	1	1	0	1	1	2	2	0	0	1	1	0	0
ATP6V1E1	69	43	20	106	116	5	44	317	715	637	98	91	12	63	3	1262
ZNF227	23	14	6	34	40	11	32	65	329	386	52	48	3	45	2	351
ZNF428	15	15	12	32	46	6	12	131	409	423	159	83	19	52	1	1773
TEX101	5	5	6	13	0	1	2	3	1	0	3	7	1	2	1	1
ZNF141	87	65	4	55	119	6	38	185	828	1091	87	85	15	97	4	511
CCL25	6	7	0	8	1	1	1	2	3	2	8	10	3	0	2	111
COX4I1	174	68	49	176	374	22	117	814	1913	2207	304	196	26	182	16	2007
EMC8	13	13	3	18	32	1	17	27	179	155	37	40	5	24	4	320
GSE1	108	101	18	146	113	12	31	309	628	817	231	138	39	93	15	1891
