Gene	NLF_SiC_Un_1_S1_R1_001	NLF_SiC_Un_2_S9_R1_001	NLF_SiC_Un_3_S17_R1_001	NLF_SiH_Un_1_S3_R1_001	NLF_SiH_Un_2_S11_R1_001	NLF_SiH_Un_3_S19_R1_001
C5orf58	0	0	0	0	0	0
KCNMB1	0	0	0	0	0	0
LCP2	0	0	0	1	0	0
HARS1	540	897	680	806	860	1104
MALINC1	14	68	19	58	54	44
PURA	1594	1682	829	1822	715	814
IGIP	342	615	236	594	193	201
LOC101929719	7	40	2	11	7	1
CYSTM1	246	655	707	144	391	468
PFDN1	708	760	1007	353	295	494
HBEGF	93	73	151	85	145	188
SRP19	136	175	125	196	255	358
REEP5	1402	2232	1908	1993	2350	2869
XBP1P1	1	5	0	1	1	2
LOC731157	0	0	0	0	1	0
MBLAC2	204	159	109	204	93	112
POLR3G	222	227	321	35	34	32
LYSMD3	853	803	592	1222	736	1204
GABRG2	0	0	1	0	0	0
RPS4XP6	2	8	1	9	6	3
RBISP2	0	2	0	0	0	0
OFD1P17	15	5	2	11	6	0
RN7SL37P	0	1	0	0	0	0
RNU7-75P	0	0	0	0	0	0
KRT8P33	6	6	4	5	3	1
HMGB3P17	0	0	0	0	0	0
CEP120	730	832	414	737	654	682
CIR1P1	15	11	11	29	23	16
FAXDC2	1161	1733	528	722	238	124
Metazoa_SRP	0	2	0	0	0	0
MIR378H	3	10	1	2	0	0
GEMIN5	456	521	337	228	92	147
CKS1BP3	0	0	0	0	0	0
LRRC70	0	1	0	0	0	2
GABRB2	0	0	1	1	0	0
CCNI2	1	3	0	0	0	0
SPRY4	559	420	557	859	277	536
ZFP62	323	258	87	455	218	187
MGAT1	2087	2499	2233	4723	5447	4032
CETN3	227	199	199	215	104	190
CLINT1	1823	2231	1386	2930	2680	2801
IPO11	433	526	294	341	214	287
PCDH12	12	37	22	60	29	47
TMCO6	56	63	32	96	67	38
BRD8	931	1850	709	922	595	611
CSNK1A1	2995	2535	1762	3141	2603	2140
WWC1	127	177	94	84	33	38
RAPGEF6	227	660	163	173	112	125
SEMA6A	26	18	71	51	9	58
RANBP3L	8	50	21	3	6	5
TRIM36	7	32	19	5	8	9
ABLIM3	3690	3977	3755	3401	2604	2828
DCTN4	1830	2210	1212	1531	1337	1323
MYOZ3	6	0	9	3	0	2
TMEM161B	335	311	289	426	256	458
MIER3	935	777	454	581	208	280
PCDHAC1	2	1	0	1	0	0
CHD1	946	1077	644	1221	913	1043
TARS1	2657	2292	1774	2394	2706	2461
PRELID3BP7	0	0	0	1	0	0
TUBAP14	0	0	2	0	0	0
CAST	6254	6890	4155	5383	4019	4283
FOXO1B	0	1	0	0	0	0
LOC729707	0	0	0	0	0	0
HSPA9	2852	3407	2749	4620	6549	6089
FOXD1	507	398	722	315	200	224
LINC01385	1	1	0	0	0	0
LINC01386	0	0	0	0	0	0
FUNDC2P1	2	1	0	0	1	4
ANKRA2	440	534	340	420	364	470
UTP15	273	280	248	190	151	233
USP12P1	0	1	1	1	0	2
SAR1B	1220	1612	1091	1395	1267	1702
RNU6-1311P	0	0	1	0	0	0
SEC24A	1507	1469	800	1459	949	929
RNU6-1164P	0	0	0	0	0	0
RNU6-757P	0	0	0	0	0	0
CAMLG	518	779	494	1087	564	749
DDX46	1253	1761	917	1475	1097	1304
C5orf24	3032	2160	1283	1679	479	659
TXNDC15	1148	1351	1006	2028	2100	2032
LOC105378231	0	0	0	0	0	0
SPARC	70325	53405	40167	51158	49184	70757
CLMAT3	5	13	4	8	8	7
RN7SKP232	0	0	0	0	0	0
ATOX1	397	699	697	522	807	1053
ATOX1-AS1	1	2	0	0	0	0
RPLP1P6	3	2	3	6	6	3
GLRA1	1	0	0	0	0	0
RXFP3	0	0	0	1	0	1
SLC45A2	0	3	1	1	0	0
C1QTNF3-AMACR	1	0	5	0	0	0
C1QTNF3	9	37	4	15	6	3
GPRIN1	62	152	108	75	107	143
SNCB	2	2	1	0	0	2
EIF4E1B	0	0	0	0	0	0
TSPAN17	477	796	901	421	301	429
SRFBP1	247	197	170	90	78	114
LOX	13970	11520	12831	14811	6750	9032
NPM1	6993	8370	7019	12651	7956	13251
NDUFAF2	106	135	213	201	257	500
UGT3A2	0	0	0	0	0	0
LMBRD2	512	566	349	459	283	377
RNU6-1305P	0	0	0	0	0	0
NADK2	708	1199	558	843	502	575
NADK2-AS1	2	5	2	5	1	1
SKP2	818	872	408	413	168	177
G3BP1	4372	4254	3049	2886	1955	2347
IRX2	38	1	32	39	0	15
ADRB2	56	267	93	37	99	85
CDC20B	0	0	0	0	2	5
SHROOM1	95	149	116	133	62	50
KIF3A	586	759	400	230	162	264
CNOT8	1401	1665	966	1519	1207	1436
CDC42SE2	611	594	436	318	209	287
SPINK1	1	0	1	3	0	0
MAPK9	1038	1501	721	646	507	454
TBC1D9B	1063	1095	940	2436	1445	1974
TMEM267	196	176	149	165	106	197
PCDH1	6	7	0	1	10	6
FYB1	0	0	3	0	4	0
MOCS2	1005	1780	940	898	642	793
P4HA2-AS1	1	1	1	1	1	0
PDLIM4	462	287	556	338	272	174
SLC22A4	48	192	173	105	165	161
C5orf22	636	821	469	531	400	473
P4HA2	3109	2510	2193	13217	8752	5981
POU4F3	0	0	0	4	1	1
DROSHA	576	646	342	655	446	399
PPP2R2B	4	841	3	3	215	1
FNDC9	0	0	0	0	0	1
NIPAL4-DT	2	1	0	1	0	0
NIPAL4	7	17	11	1	3	0
HMGCR	592	828	816	520	470	1648
COL23A1	1	0	0	0	0	0
RN7SKP70	3	6	3	5	0	7
RUFY1	729	1098	616	468	306	349
RUFY1-AS1	2	13	4	1	5	4
C5orf60	0	1	0	0	0	0
CBY3	0	0	0	0	0	0
HMGB3P22	0	2	0	2	0	1
CANX	12317	13180	10146	17123	8130	14312
NIPBL-DT	88	151	64	139	74	83
KRT18P31	0	0	0	0	1	0
ARSI	634	155	158	671	64	86
TCOF1	392	447	273	789	599	567
RPS14	8575	5383	11037	10363	5062	12094
SLC1A3	68	14	22	90	30	32
CDC23	764	955	510	612	533	532
GFRA3	0	0	0	1	1	0
CDC25C	1	2	1	9	0	12
FAM53C	869	1030	795	580	375	401
KDM3B	1057	1741	887	591	311	259
EGR1	2237	603	350	678	140	110
RPL7P19	3	4	3	3	1	2
CPLANE1	480	723	321	505	349	336
LOC105377724	0	2	0	0	0	0
SMIM23	0	0	0	0	0	0
FBXW11	2202	2916	1904	1732	1451	1747
IRF1-AS1	91	280	111	91	161	66
Y_RNA	0	2	0	1	4	0
IL5	0	3	0	1	1	0
FAM114A2	388	433	260	625	436	542
MFAP3	1089	1140	585	706	369	447
IRF1	564	932	471	524	728	317
SLC35A4	640	834	1061	748	838	898
PPP1R2B	4	5	4	2	1	4
SGCD	1606	1226	287	3167	1806	919
DIMT1	281	367	320	264	178	374
RPL7P22	2	0	0	0	1	0
TNPO1-DT	0	0	0	0	0	0
RPL35AP13	0	2	0	0	0	0
FCHO2-DT	8	5	0	8	5	3
CHP1P1	0	0	1	2	0	0
EFNA5	531	862	166	1316	474	539
LOC345576	3	3	3	0	1	0
HNRNPKP1	13	10	6	14	8	6
PRRC1	2086	2092	1176	4531	3406	3464
CUL1P1	0	0	0	0	0	0
GRXCR2	0	1	1	0	0	0
CDK7	583	822	620	621	617	803
CCDC125	87	133	113	111	65	72
CFL1P5	0	3	0	0	0	0
CHCHD2P2	24	0	45	32	0	50
NDUFB9P1	0	0	0	0	0	0
AK6	243	316	409	353	324	644
RAD17	526	707	425	620	473	600
MARVELD2	23	125	51	5	19	12
RPS27P14	0	0	0	0	0	0
GTF2H2C	72	33	76	62	17	73
OCLN	3	11	7	4	4	8
SLC27A6	0	3	0	10	20	3
ISOC1	426	487	258	593	527	346
ZDHHC11B	0	3	9	0	1	0
LINC02150	0	0	0	0	0	0
ZNF622	547	788	703	605	737	887
PDCD6-AHRR	0	0	0	0	0	0
ENC1	640	936	1170	796	682	652
SMIM3	1515	1254	1504	1510	888	1302
MAN2A1	2534	2524	1815	1063	685	1008
STC2	6191	19229	7336	18292	27955	17200
OR2V2	0	0	0	0	0	3
ANXA2R	11	5	7	20	8	9
APBB3	211	276	167	344	256	187
TAS2R1	3	1	0	0	0	0
DOK3	25	28	32	25	19	22
LOC100130748	6	8	3	3	3	5
RPS23	5868	6456	8078	6311	4377	9706
DCP2	617	765	362	648	235	324
ZNF608	477	714	128	743	301	126
GAPDHP40	18	31	19	21	29	29
Y_RNA	0	0	0	0	0	0
TTC1	780	1120	985	544	510	789
ADAMTS19	7	30	17	66	236	98
PLK2	4706	8097	2272	18990	13242	9465
LINC00491	0	0	0	0	2	0
EIF3KP1	2	1	0	0	0	0
GIN1	111	118	95	115	78	145
RNU7-175P	0	0	0	0	1	0
CERT1	997	1449	579	1314	842	615
POLK	774	708	366	551	418	427
ANKDD1B	2	5	4	3	2	7
DNAH5	127	68	135	110	47	139
ERCC8	222	144	131	132	82	172
PMCHL2	0	0	0	2	0	0
CARTPT	0	0	0	0	0	0
RPL21P58	0	0	2	0	0	0
TUBAP15	0	0	1	0	0	0
HSD17B4	1629	2599	1042	1725	1523	1300
RETREG1	2	7	4	1	3	4
TNPO1	7659	9845	5124	9082	8864	9771
SRA1	471	712	1033	793	1141	1651
JADE2	867	1318	921	771	893	545
WDR55	367	611	468	724	747	758
CCDC192	0	1	0	4	1	2
GPR151	0	0	0	1	0	0
TCERG1	898	1104	816	871	643	741
PCDHGA1	66	123	23	66	26	6
PCDHGA2	45	160	38	107	74	21
PCDHGA3	18	10	20	34	14	16
PCDHGB1	41	33	13	52	11	5
PCDHGA4	162	357	117	210	260	64
PCDHGB2	65	75	33	76	67	12
PCDHGA5	26	23	8	60	10	5
PCDHGB3	35	114	21	28	51	21
PCDHGA6	72	93	41	124	59	42
PCDHGA7	125	159	63	138	62	60
PCDHGB4	311	135	211	241	67	110
PCDHGA8	54	21	37	53	9	29
PCDHGA9	16	52	19	25	17	15
PCDHGA10	68	112	51	97	98	50
PCDHGB7	308	185	76	460	130	114
PCDHGA11	62	13	119	79	18	113
PCDHGB8P	1	4	1	2	1	1
PCDHGA12	171	171	196	383	255	271
PCDHGB9P	6	9	0	7	4	2
PCDHGC3	2876	1084	703	3028	1042	686
RN7SL68P	4	2	5	5	1	0
PCDHGC4	11	32	7	24	8	2
PCDHGC5	46	33	19	42	9	0
DIAPH1-AS1	0	2	0	0	0	0
RPS27AP10	0	0	0	1	0	0
HDAC3	501	617	550	528	328	487
RELL2	17	24	34	23	30	87
PCDHGB5	482	948	264	530	601	285
EXOC3-AS1	15	21	9	25	29	37
AHRR	60	137	46	36	11	18
PAM	9250	15554	5300	14288	11235	7452
ZNF131	600	659	402	499	391	498
C5orf63	15	3	39	14	1	23
ARHGEF28	182	473	356	196	430	307
DMXL1	1251	1445	724	1364	1043	981
ZNF300	134	106	55	128	38	14
FAT2	6	11	2	6	2	2
KIAA0825	80	97	61	74	20	14
PRELID2	262	234	141	44	37	33
TENT2	1046	1135	538	823	653	468
MCCC2	174	440	236	151	161	188
C5orf38	32	0	29	21	0	8
LINC01962	0	0	0	0	0	1
TRIM7	1	39	11	9	10	8
TRIM7-AS1	0	1	0	1	0	0
TRIM41	444	709	406	565	433	379
RACK1	14470	15494	15406	25031	12620	16995
TRIM52	74	133	37	101	67	56
LINC02900	0	2	0	0	0	0
MACROH2A1	2638	2651	2078	2647	1738	1945
TIFAB	0	0	0	0	0	0
PDCD6	49	165	45	139	92	85
FGFR4	220	5	10	829	43	95
RPL21P60	0	1	1	1	0	1
RAB24	79	129	99	172	134	160
PRELID1	332	433	643	469	592	863
RPS20P17	0	0	0	0	1	0
RGS14	72	89	65	48	15	16
BRD9	362	496	275	492	375	464
TRIP13	56	65	48	25	24	31
NKD2	0	0	2	17	0	1
SLC12A7	292	302	365	336	99	224
MIR4635	0	0	0	0	0	0
UQCRQ	396	598	1181	330	500	888
LEAP2	6	14	0	5	5	6
NSD1	2580	3258	1726	1450	1048	948
CDX1	28	9	3	8	1	0
CTNND2	0	1	0	0	0	0
MRNIP	236	678	199	447	425	267
FBXL17	450	497	286	108	32	45
ARL15	704	759	304	617	283	291
DHX29	1374	1797	1103	1305	1608	1180
RIMOC1	894	838	610	844	557	726
REEP2	245	388	319	95	129	64
CLK4	540	823	411	381	206	341
SDHA	94	167	86	147	137	142
PDE4D	475	260	120	688	110	154
CCNJL	83	83	48	70	13	17
HSPA4	3593	4651	3099	3699	3770	3810
IL13	0	0	2	0	2	0
BDP1	1178	1186	788	837	509	545
FER	1416	1231	654	647	292	360
LVRN	2	4	0	13	7	13
DIAPH1	807	1167	736	1100	1088	1080
FNIP1	1657	1741	920	1453	907	921
HRH2	0	0	0	0	2	0
BTF3	4151	4920	4094	4674	2966	4001
IRGM	2	0	3	4	2	0
MAST4	674	1543	555	596	658	443
DBN1	1928	2198	2280	2073	1475	1752
PCDHGB6	201	20	24	186	23	23
MCTP1	93	122	105	420	231	317
PLEKHG4B	3	5	7	14	2	4
PDE6A	0	0	5	2	0	1
MFFP2	1	5	0	2	2	3
Y_RNA	0	0	0	0	0	0
SLC26A2	675	805	509	1000	543	652
SLC22A5	124	271	155	124	131	102
ATP6V1G1P6	0	0	0	0	0	0
GDF9	3	3	3	11	3	6
ZDHHC11	5	18	11	24	25	12
PCDHB2	30	1	5	19	0	0
PCDHB3	19	1	1	17	2	0
PCDHB4	17	8	6	11	0	0
PCDHB5	104	75	5	72	25	1
PCDHB6	42	6	8	34	4	1
PCDHB17P	2	0	0	0	0	0
PCDHB7	87	135	13	43	35	4
PCDHB8	59	51	2	31	12	2
PCDHB16	117	84	15	100	26	3
PCDHB9	70	100	9	63	27	2
PCDHB10	97	186	17	85	84	2
PCDHB11	19	26	1	27	18	0
PCDHB12	42	8	0	34	0	0
PCDHB13	112	58	16	81	19	5
PCDHB14	163	104	38	113	33	15
PCDHB18P	25	12	2	13	2	2
PCDHB19P	7	0	1	1	1	0
PCDHB15	114	16	6	63	11	1
TAF7	2648	3793	2231	2383	2535	2265
SLC25A2	0	0	0	0	0	0
TAF9	611	686	612	741	850	1061
HNRNPA0	2030	2291	1381	1660	1052	980
PKD2L2-DT	4	0	1	6	0	5
MYOT	0	0	0	0	0	0
PKD2L2	0	4	1	0	1	2
IK	1231	1747	985	1283	1210	1168
ATP6AP1L	34	42	8	102	16	15
SNRPCP2	27	42	49	29	36	63
LOC101929109	0	2	0	0	2	4
F2RL2	3741	7450	3049	2033	3393	2308
F2R	20525	20562	10840	13776	8538	8659
F2RL1	150	552	414	52	106	126
RN7SL208P	0	0	0	0	0	0
LOC101928093	0	0	0	0	0	0
DUSP1	1287	1236	1664	975	861	1174
RPL26L1-AS1	5	11	16	7	2	15
RPL26L1	57	74	79	190	264	415
ATP6V0E1	2863	4278	4577	3499	5240	7316
SNORA74B	3	0	0	0	0	0
CREBRF	1525	1794	827	1962	1287	1474
CDC42P5	0	3	1	1	0	0
BNIP1	148	155	229	158	164	248
SHISAL2B	0	0	0	0	0	0
SREK1IP1	908	866	539	451	242	346
ERGIC1	3910	4679	4699	3982	4083	4672
CWC27	778	859	587	448	277	426
RNF44	372	685	347	336	184	172
CDHR2	0	10	12	1	4	2
ADAMTS6	387	235	194	106	68	50
SPATA24	8	30	34	30	36	31
GAPT	0	0	1	1	0	0
FAM13B-AS1	0	1	0	1	1	0
WNT8A	0	0	0	0	0	0
NME5	4	13	5	6	3	1
FAM13B	970	1252	635	649	691	519
GFM2	302	387	352	363	430	453
RNU6-658P	0	1	0	0	0	0
NSA2	1159	1213	1078	1300	722	1265
FAM169A	9	5	8	3	2	2
ARL14EPL	0	0	0	1	0	0
CD74	77	111	32	11	30	4
MXD3	27	39	18	19	12	9
LARP1	3506	4570	2806	5318	4658	4466
LOC102546299	1	0	0	8	4	0
LINC01366	0	0	0	0	0	0
LINC02208	0	0	0	0	0	0
LINC01411	0	0	0	0	0	1
LUCAT1	12	176	74	11	82	54
LINC01265	9	10	4	38	21	33
LINC02982	4	0	6	1	0	0
LOC124900931	0	0	1	2	0	1
LOC101930276	0	0	0	0	0	0
LINC02160	0	0	1	1	1	0
LINC02223	4	0	6	3	1	22
ADAMTS16-DT	0	0	0	0	0	0
EDIL3-DT	33	89	52	11	38	30
LOC100652758	6	10	15	22	19	21
FBXO38-DT	3	5	0	20	3	8
IRX4-AS1	0	0	0	0	0	0
MAST4-AS1	0	1	1	1	2	3
CKMT2-AS1	37	39	25	56	36	62
MARCOL	0	0	0	0	0	0
SPINK13	0	0	0	0	0	0
BCLAF1P1	2	3	1	1	2	0
TSLP	86	687	190	75	230	178
WDR36	2510	3113	1187	1359	1014	987
RPS3AP21	45	24	28	40	15	41
LMAN2	1511	2200	1625	2502	3143	2345
PRR7-AS1	9	25	3	3	9	3
CCNG1	9834	11221	7453	10800	4730	8314
NUDCD2	496	595	366	450	227	315
HMMR	6	10	9	15	20	21
SCAMP1	2184	2244	1250	1220	640	747
Metazoa_SRP	0	0	0	0	1	0
HNRNPH1	3801	5454	2283	4966	3262	3069
LOC100422441	0	4	0	1	0	2
AP3B1	1482	2037	933	2175	2221	1776
FAM170A	0	0	0	0	0	0
LOC124901194	0	0	0	0	0	0
CD14	18	52	101	25	26	25
VTRNA1-1	0	0	1	0	0	3
VTRNA1-2	0	2	0	0	0	0
VTRNA1-3	1	0	0	0	3	2
MAT2B	1789	1623	1053	2577	1080	1264
MROH2B	1	0	0	0	0	0
C6	1	0	1	1	0	0
DAB2	12564	16971	11997	8786	6532	5383
LINC02104	7	2	12	15	18	26
CFAP53P1	0	0	0	0	0	0
RPL7P20	0	1	0	1	0	0
RPLP0P9	67	73	88	159	63	105
TENM2-AS1	1	0	0	0	0	0
TENM2	22	3	57	43	4	28
C9	0	2	0	4	0	1
F12	4	18	9	5	5	6
SPDL1	363	578	292	237	512	312
INSYN2B	381	490	272	751	1006	514
DOCK2	22	331	13	20	107	24
PRKAA1	2459	2218	1543	1416	854	1104
RPL37	10513	8465	14565	16665	8536	17443
SNORD72	0	0	0	1	0	0
CARD6	377	616	299	759	893	487
RPL26P19	511	310	532	678	244	676
C5orf67	1	0	0	0	0	0
MAP3K1	1031	380	419	444	89	164
SETD9	78	41	118	73	8	180
LOC105378979	0	1	0	1	0	0
KRT18P16	0	0	1	0	0	0
PPP2CA-DT	2	3	1	2	2	3
CDKL3	2	7	3	7	12	9
UBE2B	1569	1935	1369	1614	1122	1465
CDKN2AIPNL	145	211	213	166	193	195
RPS10P11	1	0	1	0	0	1
LINC02999	1	0	0	0	0	0
EBF1	34	196	2	23	42	0
RNF145	1114	1451	776	1643	1174	1051
LINC01932	0	0	0	0	0	0
UBLCP1	660	818	497	765	650	669
IL12B	0	7	0	2	7	0
LINC02198	0	0	0	2	0	0
SLC30A5	1086	1099	633	929	604	737
CCNB1	112	232	132	37	36	76
MED7	136	187	191	151	78	146
CSNK1G3	947	776	419	955	587	636
ITK	1	0	0	3	0	0
C7	483	3	12	516	18	68
THOC3	33	36	56	70	54	72
THOC3-AS1	0	0	0	0	0	0
SIMC1	172	113	97	194	80	102
BRCC3P1	15	14	8	8	3	9
KIAA1191	2557	3292	2598	1558	1199	1391
ARL10	384	550	243	699	267	290
MIR1271	0	0	0	0	0	0
NOP16	137	168	274	149	203	305
HIGD2A	288	643	613	273	362	351
CLTB	306	695	895	524	647	1102
FAF2	1518	2100	1242	2060	2077	2353
HK3	0	1	0	0	0	0
UIMC1	331	386	280	481	264	319
ZNF346	192	309	205	295	144	163
ZNF346-IT1	1	1	4	0	0	0
FAM193B-DT	1	3	0	0	0	0
TMED9	1527	2223	1671	1313	1429	1717
B4GALT7	236	338	307	547	540	530
SUDS3P1	46	50	32	18	7	20
N4BP3	13	6	9	21	1	2
RMND5B	292	436	221	206	155	119
LOC645853	0	0	0	0	0	0
GMCL2	0	0	3	0	1	1
HNRNPAB	1492	1718	1403	1925	1882	2209
PHYKPL	392	901	306	382	293	257
LOC100422687	0	0	0	0	0	0
CCT6P2	2	3	2	2	2	4
EEF1A1P13	42	65	26	134	53	61
RBBP4P1	69	59	29	63	54	55
OTULIN	656	730	434	531	460	441
EEF1B2P2	2	0	1	6	2	1
NHP2	304	377	571	283	276	488
HAVCR2	3	17	2	7	25	6
FAM153CP	1	3	2	3	1	1
PIK3R1	1559	4480	820	649	985	398
CPLX2	0	0	0	0	0	0
FAM153B	0	2	0	0	0	0
PWWP2A	377	507	212	414	205	275
PTCD2	265	338	187	195	161	198
ZNF366	0	0	0	0	0	0
LINC02056	0	0	0	0	0	2
GPX3	2605	18145	6238	2739	8583	5846
TNIP1	1002	1627	1616	2338	2056	1854
PDGFRL2P	0	0	0	0	0	0
CCDC69	81	172	94	106	54	86
GM2A	610	915	821	1127	826	955
SLC36A1	570	972	871	224	179	292
RNA5SP197	0	0	0	0	0	0
PDLIM7	1846	1522	1400	638	295	334
TTC23L-AS1	2	7	4	4	1	4
RPL21P54	0	2	0	0	0	0
RAD1	1233	1335	864	558	450	625
BRIX1	584	916	694	369	372	773
CENPH	41	36	34	37	27	31
MRPS36	314	335	391	154	135	268
RPL27AP5	0	0	0	0	0	0
GCNT4	99	348	334	78	112	151
ANKRD31	1	2	2	5	6	0
POC5	122	117	68	73	63	67
SV2C	0	0	1	0	0	0
RNA5SP186	0	0	0	0	0	0
RAP1BL	89	107	42	88	100	80
HMGN2P4	2	1	0	1	0	1
PDCD5P2	3	4	9	5	7	4
IQGAP2	135	198	96	248	118	103
S100Z	0	0	0	0	0	0
CRHBP	0	5	0	0	6	2
AGGF1	282	319	141	496	252	209
ZBED3	345	148	88	180	44	20
SNORA47	0	0	0	1	0	0
ZBED3-AS1	4	0	0	6	1	3
PDE8B	11	20	10	11	0	11
ALDH7A1P1	0	1	0	0	0	2
WDR41	809	661	564	894	639	982
RPS2P24	2	0	0	0	1	1
RPL7P23	6	8	9	18	3	17
TBCA	931	967	1335	896	905	1922
ACTBP2	142	114	141	71	73	61
SPINK5	0	0	0	0	0	0
STING1	1769	2827	1402	1351	978	597
NCOA4P4	1	2	1	3	5	3
H3P25	0	0	0	1	0	0
CXXC5	766	1966	661	626	955	453
CXXC5-AS1	0	1	0	0	0	0
UBE2D2	1525	1994	1444	1432	1274	1478
MRPS27	843	1075	696	709	468	536
FAM81B	0	0	0	0	0	0
RTRAFP2	35	35	28	26	21	28
ARSK	503	471	433	340	411	353
GPR150	3	24	5	4	9	1
TRIO	7526	5312	4206	4634	2849	2924
OTULINL	30	10	58	10	8	90
LINC01337	0	0	0	0	0	0
DDX4	0	0	0	0	0	0
HNRNPH1P3	1	5	1	4	1	2
IL31RA	2	2	3	17	12	14
LOC124901197	0	0	0	0	0	0
IL6ST	44246	30509	16881	23741	2316	3031
AGXT2	0	0	0	0	0	0
DNAJC21	1785	2069	1227	1046	798	1167
ZNF474	3	3	1	3	5	3
LOC100505841	0	0	0	0	0	0
MACIR	284	301	303	265	171	430
PPIP5K2	1144	1012	686	894	458	681
MTCYBP18	2	0	1	0	0	0
MTND6P4	4	5	3	4	4	2
MTND5P11	4	4	2	4	1	0
MTND4P12	2127	16	1023	1663	15	650
MTND4LP30	2	0	0	1	0	1
MTND3P25	0	0	1	0	0	1
CATSPER3	1	2	5	2	3	1
PITX1	378	266	66	330	175	118
PITX1-AS1	33	30	9	33	12	9
EPIST	0	0	0	0	0	0
SLC25A48	0	0	0	0	4	0
CXCL14	0	0	2	0	0	0
SLC6A7	3	0	0	0	0	0
CAMK2A	54	9	33	44	6	6
CYFIP2	921	1384	710	884	953	482
PIGFP1	0	1	0	2	0	0
ZNF454-DT	0	0	0	3	0	0
ZNF454	27	9	8	55	9	6
GRM6	5	3	0	2	1	2
LOC100288803	4	2	4	1	2	4
ZNF879	55	77	28	52	24	23
ZNF354C	207	204	108	201	62	63
ADAMTS2	2459	1370	1407	3868	1117	1626
FAM193B	574	828	355	703	355	258
ERBIN	3368	4419	2340	4679	2899	2883
ERBIN-DT	2	3	1	1	2	1
SREK1	1800	2431	1239	1749	1145	1199
KIF2A	1225	1273	732	912	743	760
HAVCR1	0	1	0	1	0	0
TTC23L	6	16	2	0	3	2
SKIC3	3130	4052	2030	3171	3142	2537
SMIM15-AS1	6	6	1	9	5	4
LINC02199	3	6	1	10	3	5
LINC02202	0	3	0	0	0	0
OTULIN-DT	2	6	6	6	5	5
NPM1P27	128	145	120	208	138	227
POU5F2	0	2	0	3	0	0
NR2F1	2529	1232	1016	5952	1294	1926
ZNF354A	110	143	65	127	65	73
ZNF354B	96	143	74	74	64	71
AMACR	4	0	0	1	2	1
ANXA6	3964	5665	4327	5877	5285	6222
TERT	0	0	0	0	0	0
CLPTM1L	1028	1906	1550	1266	1763	1896
LINC01511	0	1	1	0	0	0
SLC6A3	0	0	0	0	1	0
LPCAT1	393	524	283	1311	845	1050
SERF1A	0	2	1	0	0	0
SMN1	53	52	65	73	49	55
NAIP	4	8	1	8	0	0
GTF2H2	28	48	55	21	21	49
OCLNP1	5	3	2	1	0	0
NAIPP4	1	4	2	2	0	0
RETREG1-AS1	4	34	6	15	5	0
SCAMP1-AS1	32	74	21	36	88	27
LOC105379040	0	9	23	1	0	4
LOC105379199	0	0	0	0	0	0
FAM174A-DT	0	0	0	1	0	0
LINC01843	0	3	0	0	0	0
CPLANE1-AS1	0	2	0	0	0	0
LINC02236	0	1	0	0	1	3
GOLPH3-DT	16	30	7	15	19	9
MGC32805	0	0	0	4	0	0
SAP30L-AS1	37	73	54	51	26	49
FLJ32255	138	53	118	135	37	134
LINC02997	0	1	0	0	0	0
SDHAP3	24	106	13	45	31	8
LOC105378998	0	0	0	0	0	0
TARS1-DT	7	8	4	9	7	17
LINC01338	0	1	0	0	1	1
CARMN	372	1116	193	330	125	38
LOC101929200	6	9	0	5	2	1
BTF3-DT	0	0	1	5	1	0
ANXA2R-AS1	106	215	94	159	107	75
LINC01018	0	1	0	1	0	0
LOC101928505	1	0	0	0	0	1
SH3TC2-DT	0	8	2	0	1	0
PDCD6P1	24	164	35	67	84	60
IL6ST-DT	6	3	6	3	2	3
LINC00461	0	0	1	0	0	4
C5orf64	0	0	1	0	0	0
SNHG18	327	149	174	289	78	244
SPRY4-AS1	6	17	10	3	5	5
MEF2C-AS1	1	6	2	2	3	4
ROPN1L-AS1	0	0	0	1	0	0
LOC124906471	0	0	2	0	0	0
NR2F1-AS1	553	487	380	629	325	355
HEIH	34	59	41	67	38	37
ANXA2R-OT1	66	103	44	73	40	49
LINC02217	0	0	0	0	0	1
MEF2C-AS2	0	0	0	0	0	1
LOC100289230	11	53	18	36	19	29
JAKMIP2-AS1	0	0	0	0	0	0
TRIM7-AS2	4	7	4	10	3	3
MIR4458HG	48	71	57	43	35	75
PDCD6-DT	2	1	0	2	0	0
GUSBP1	70	73	78	60	24	69
LINC01554	2	6	5	2	3	2
ANKHD1-DT	1	4	3	1	0	3
NPY6R	0	0	0	0	0	0
LOC124901151	1	8	0	3	0	5
LINC01023	3	3	0	0	1	1
MOCS2-DT	18	22	25	50	21	64
MARCHF6-DT	3	4	0	10	14	14
PURPL	48	284	28	145	283	89
ZNF300P1	4	1	3	20	2	9
TRIM52-AS1	20	59	26	35	37	49
CTC-338M12.4	6	15	8	10	6	6
ARRDC3-AS1	1	2	0	4	4	2
LOC124900964	14	14	34	8	11	21
SLC12A2-DT	189	282	193	195	181	236
TMEM161B-DT	107	268	72	264	150	115
SLC1A3-AS1	0	0	1	2	0	0
EPB41L4A-AS1	261	282	320	574	308	515
LINC02863	0	0	2	2	3	0
ZCCHC9	366	426	315	447	424	543
ACOT12	2	3	2	4	9	2
SSBP2	1006	1149	540	740	444	399
SEM1P1	0	0	0	0	0	0
SKP1	380	452	328	194	216	308
PPP2CA	477	408	261	248	209	243
GMDS	241	240	222	182	134	103
